Transformador,Frecuencia (Hz),PSD (Power)
10023,0,604534.166916182
10023,0.0009765625,808849.638181507
10023,0.001953125,220901.500989214
10023,0.0029296875,16066.3001107796
10023,0.00390625,110.914333400983
10023,0.0048828125,115.384448054283
10023,0.005859375,122.301419298405
10023,0.0068359375,172.18331950546
10023,0.0078125,99.0392342591393
10023,0.0087890625,137.071407988414
10023,0.009765625,68.005538757456
10023,0.0107421875,132.672763201015
10023,0.01171875,72.3006662181064
10023,0.0126953125,113.555723921412
10023,0.013671875,64.9283670155872
10023,0.0146484375,95.3931249389646
10023,0.015625,54.2646191005686
10023,0.0166015625,91.5115099618877
10023,0.017578125,67.2569580299929
10023,0.0185546875,91.5568151402732
10023,0.01953125,56.1572468127829
10023,0.0205078125,69.2016464587826
10023,0.021484375,43.1860336873616
10023,0.0224609375,65.973269626199
10023,0.0234375,51.9258656418841
10023,0.0244140625,67.7912236200222
10023,0.025390625,54.9891095089284
10023,0.0263671875,64.9473586049645
10023,0.02734375,50.3912713855035
10023,0.0283203125,68.4017695598891
10023,0.029296875,62.7392793372375
10023,0.0302734375,64.7799679471041
10023,0.03125,44.9698475756802
10023,0.0322265625,52.6282610739427
10023,0.033203125,49.0663625485643
10023,0.0341796875,64.1340947836354
10023,0.03515625,66.9702377544899
10023,0.0361328125,77.4009250529925
10023,0.037109375,64.7242482717259
10023,0.0380859375,80.156223061218
10023,0.0390625,1726.04315536196
10023,0.0400390625,13463.2654775048
10023,0.041015625,35558.4821927906
10023,0.0419921875,40623.5173463188
10023,0.04296875,20581.9148688086
10023,0.0439453125,3921.03619323271
10023,0.044921875,178.968724939892
10023,0.0458984375,65.6031559729225
10023,0.046875,65.0889050235053
10023,0.0478515625,73.7513338413001
10023,0.048828125,60.698961772144
10023,0.0498046875,48.427452551421
10023,0.05078125,43.5620876842982
10023,0.0517578125,52.6535060871269
10023,0.052734375,55.1402843774929
10023,0.0537109375,61.8651799281118
10023,0.0546875,51.0059255158366
10023,0.0556640625,43.1856202485643
10023,0.056640625,38.7241455907588
10023,0.0576171875,41.7647827447653
10023,0.05859375,42.5488494779021
10023,0.0595703125,47.8360569276251
10023,0.060546875,43.4211801622087
10023,0.0615234375,42.0976605733812
10023,0.0625,39.3935468622237
10023,0.0634765625,37.4125315203796
10023,0.064453125,30.2324099921823
10023,0.0654296875,34.2707045349029
10023,0.06640625,32.8585832674927
10023,0.0673828125,33.8594601659463
10023,0.068359375,35.1181708579219
10023,0.0693359375,42.3350041044631
10023,0.0703125,57.8903849378064
10023,0.0712890625,74.1786107478681
10023,0.072265625,63.0087064134714
10023,0.0732421875,45.4267938701302
10023,0.07421875,34.4253245309535
10023,0.0751953125,40.1154321492279
10023,0.076171875,67.5415402655739
10023,0.0771484375,99.82140574045
10023,0.078125,87.0260499946899
10023,0.0791015625,55.2883321808461
10023,0.080078125,67.6071734387337
10023,0.0810546875,743.078659533218
10023,0.08203125,3648.05683575502
10023,0.0830078125,7111.93690148625
