Value,Type
39.41,Original
35.040000000000006,Original
34.160000000000004,Original
36.56999999999999,Original
42.17,Original
33.90999999999999,Original
33.220000000000006,Original
35.38,Original
36.010000000000005,Original
36.56,Original
39.38999999999999,Original
60.06999999999999,Original
98.92,Original
132.47,Original
135.13000000000002,Original
137.42000000000002,Original
137.42000000000004,Original
139.86999999999998,Original
139.95,Original
128.9,Original
116.15,Original
87.32999999999997,Original
60.73000000000002,Original
42.73000000000001,Original
38.84,Original
33.55,Original
31.62,Original
34.00000000000001,Original
30.5,Original
30.29000000000001,Original
30.47,Original
32.06,Original
33.25,Original
34.510000000000005,Original
37.93999999999999,Original
53.82999999999999,Original
97.82,Original
131.90000000000003,Original
138.72,Original
143.48,Original
136.27999999999997,Original
143.35,Original
142.32999999999998,Original
121.11,Original
98.14,Original
64.72999999999998,Original
48.51,Original
33.6,Original
34.31,Original
30.55,Original
26.93,Original
27.75,Original
27.47,Original
27.3,Original
27.030000000000005,Original
27.82,Original
27.59,Original
27.18,Original
27.87,Original
31.919999999999995,Original
31.46,Original
32.30000000000001,Original
33.83,Original
38.64000000000001,Original
42.25000000000001,Original
39.97999999999999,Original
40.91000000000001,Original
37.600000000000016,Original
36.84,Original
37.78,Original
42.03,Original
34.82000000000001,Original
36.49,Original
33.46,Original
32.22,Original
28.950000000000006,Original
29.97000000000001,Original
29.56,Original
28.890000000000008,Original
29.270000000000003,Original
28.37,Original
29.110000000000007,Original
29.75,Original
32.73,Original
32.719999999999985,Original
33.32000000000001,Original
34.42999999999999,Original
37.62,Original
36.72,Original
38.03000000000001,Original
37.66,Original
34.47,Original
35.09,Original
35.28,Original
34.10000000000001,Original
32.7,Original
33.88,Original
33.39,Original
32.489999999999995,Original
29.13,Original
28.48,Original
28.26,Original
28.62,Original
30.14,Original
32.59,Original
35.46,Original
44.32000000000001,Original
55.92999999999999,Original
96.46,Original
135.34,Original
138.73000000000002,Original
143.28,Original
136.91000000000005,Original
146.62,Original
145.38000000000002,Original
137.35000000000002,Original
124.72,Original
86.11,Original
58.760000000000005,Original
40.52,Original
31.78,Original
31.070000000000007,Original
31.849999999999994,Original
29.99,Original
33.46000000000001,Original
29.33,Original
29.379999999999995,Original
30.790000000000006,Original
31.879999999999992,Original
32.04,Original
37.86,Original
52.32,Original
97.62,Original
128.79,Original
135.09,Original
136.74,Original
140.31999999999996,Original
144.53,Original
146.06000000000003,Original
133.33000000000004,Original
118.53000000000002,Original
89.21999999999998,Original
67.37,Original
48.11000000000001,Original
44.23,Original
34.420000000000016,Original
32.870000000000005,Original
31.85,Original
31.769999999999992,Original
35.06999999999999,Original
30.78,Original
33.250000000000014,Original
34.44,Original
34.490000000000016,Original
40.36000000000001,Original
52.510000000000005,Original
93.4,Original
128.52999999999997,Original
135.13000000000002,Original
131.97,Original
132.3,Original
138.56000000000003,Original
142.23,Original
130.77,Original
115.96,Original
90.03,Original
58.79,Original
37.09,Original
38.2,Original
36.970000000000006,Original
31.23,Original
31.47000000000001,Original
32.000000000000014,Original
33.75000000000001,Original
29.960000000000008,Original
31.71,Original
32.99,Original
33.550000000000004,Original
36.72,Original
53.88,Original
93.81000000000004,Original
131.12999999999997,Original
137.03999999999996,Original
137.39000000000004,Original
135.99,Original
144.69000000000003,Original
145.83,Original
134.17999999999998,Original
121.23000000000002,Original
89.31000000000002,Original
59.60999999999999,Original
39.83,Original
38.10000000000001,Original
34.44,Original
33.290000000000006,Original
33.4,Original
35.570000000000014,Original
30.9,Original
31.06,Original
31.08,Original
30.47000000000001,Original
30.83,Original
35.88,Original
52.53999999999999,Original
89.45,Original
130.67999999999998,Original
133.31,Original
134.41000000000005,Original
131.45999999999998,Original
134.76000000000005,Original
136.79,Original
126.76999999999995,Original
108.14999999999998,Original
68.16,Original
48.38,Original
32.82,Original
38.73,Original
32.42,Original
30.70999999999999,Original
30.12,Original
29.91,Original
30.12,Original
30.24,Original
30.05999999999999,Original
30.76,Original
30.100000000000005,Original
31.56,Original
34.85,Original
35.45,Original
34.67,Original
39.6,Original
40.530000000000015,Original
38.26999999999999,Original
38.29,Original
42.38,Original
38.85,Original
37.13000000000002,Original
40.33,Original
38.10000000000001,Original
36.61,Original
33.910000000000004,Original
34.55,Original
33.650000000000006,Original
30.000000000000007,Original
30.729,Original
31.24600000000001,Original
30.896000000000008,Original
30.85600000000001,Original
31.026000000000003,Original
31.146000000000008,Original
31.986,Original
35.876,Original
35.57600000000001,Original
34.756,Original
36.826,Original
39.406000000000006,Original
40.626,Original
43.256,Original
38.74600000000001,Original
37.086,Original
37.71600000000001,Original
39.916,Original
35.965999999999994,Original
35.966,Original
38.196,Original
42.796,Original
43.746,Original
37.276,Original
36.486,Original
35.25599999999999,Original
31.396000000000008,Original
31.586,Original
31.026000000000003,Original
32.636,Original
40.016,Original
52.06600000000001,Original
88.21600000000004,Original
127.686,Original
131.206,Original
131.32599999999996,Original
128.10600000000002,Original
135.156,Original
137.96599999999998,Original
129.45600000000002,Original
112.016,Original
82.64600000000002,Original
52.946,Original
40.126,Original
34.276,Original
34.246,Original
33.746,Original
33.406000000000006,Original
35.65599999999999,Original
31.47600000000001,Original
31.15600000000001,Original
32.15599999999999,Original
35.76599999999999,Original
36.746,Original
36.667,Original
55.18,Original
91.39999999999996,Original
127.35000000000002,Original
134.16,Original
133.0,Original
136.05,Original
142.07000000000002,Original
142.9,Original
132.94,Original
116.47999999999998,Original
92.37,Original
66.32000000000001,Original
54.2,Original
43.52000000000001,Original
35.800000000000004,Original
36.2,Original
33.910000000000004,Original
32.24,Original
35.92000000000001,Original
31.31,Original
31.16999999999999,Original
35.50000000000001,Original
35.18999999999999,Original
38.8,Original
59.18000000000001,Original
97.40000000000002,Original
129.37,Original
133.5,Original
135.37000000000003,Original
134.65,Original
142.19,Original
140.59,Original
132.99,Original
121.56000000000002,Original
92.46999999999998,Original
55.0,Original
40.34000000000001,Original
42.62,Original
38.1,Original
34.14000000000001,Original
31.77,Original
35.09,Original
33.22000000000001,Original
30.78,Original
32.10000000000001,Original
35.15999999999999,Original
33.64,Original
36.19,Original
54.89,Original
96.56,Original
131.06,Original
133.52,Original
135.88,Original
134.82000000000002,Original
143.36,Original
143.36000000000004,Original
130.27,Original
117.84,Original
86.37999999999998,Original
60.42999999999999,Original
47.92,Original
42.52,Original
35.129999999999995,Original
38.26,Original
33.37,Original
33.150000000000006,Original
31.33,Original
31.5,Original
31.64,Original
36.03,Original
35.63999999999999,Original
37.09,Original
51.52000000000001,Original
92.38,Original
126.31,Original
130.34,Original
133.13999999999996,Original
132.16,Original
134.42999999999998,Original
135.51000000000002,Original
119.43,Original
94.06,Original
64.51999999999998,Original
46.65,Original
34.59,Original
38.15,Original
31.070000000000007,Original
30.640000000000008,Original
29.29,Original
29.399999999999995,Original
29.65,Original
29.5,Original
29.73,Original
30.130000000000003,Original
29.809999999999995,Original
30.49,Original
33.67000000000001,Original
33.87,Original
33.63,Original
34.1,Original
35.56999999999999,Original
34.459999999999994,Original
39.16,Original
40.3,Original
35.49,Original
34.669999999999995,Original
35.279999999999994,Original
37.27000000000002,Original
35.079999999999984,Original
35.60000000000001,Original
34.9,Original
33.829999999999984,Original
30.91,Original
30.72,Original
31.17,Original
31.39,Original
31.12,Original
31.3,Original
30.87,Original
31.430000000000003,Original
35.22,Original
35.26,Original
36.88,Original
39.330000000000005,Original
37.35,Original
37.32,Original
37.71,Original
34.49999999999999,Original
36.9,Original
36.830000000000005,Original
37.8,Original
37.83999999999998,Original
41.57,Original
41.53999999999999,Original
41.38,Original
42.06,Original
41.69,Original
35.04,Original
31.379999999999995,Original
30.61,Original
32.72999999999999,Original
33.22,Original
36.56,Original
46.66,Original
56.96,Original
98.12000000000002,Original
133.79000000000002,Original
141.06,Original
143.18,Original
139.31,Original
144.11,Original
150.75,Original
138.47,Original
123.64,Original
92.55,Original
63.06999999999999,Original
40.23,Original
36.48000000000001,Original
32.160000000000004,Original
31.59,Original
32.02,Original
35.35500000000001,Original
32.120000000000005,Original
32.449000000000005,Original
34.9,Original
35.149000000000015,Original
35.959999999999994,Original
39.93000000000001,Original
56.609,Original
97.23,Original
126.67999999999996,Original
132.409,Original
134.72999999999993,Original
133.90900000000002,Original
140.02999999999994,Original
139.91000000000005,Original
130.66899999999995,Original
118.40999999999998,Original
92.44999999999996,Original
60.92900000000001,Original
40.31,Original
43.970000000000006,Original
36.919,Original
35.04,Original
31.549000000000003,Original
33.89,Original
35.80999999999999,Original
31.699,Original
33.27,Original
35.1,Original
35.07900000000001,Original
38.73,Original
55.229000000000006,Original
97.65,Original
127.87,Original
136.149,Original
135.24,Original
132.34,Original
138.089,Original
140.17999999999998,Original
131.619,Original
115.35,Original
91.66,Original
63.23899999999999,Original
44.010000000000005,Original
34.879999999999995,Original
32.009,Original
31.239999999999995,Original
35.13999999999999,Original
35.889,Original
31.270000000000003,Original
33.69899999999999,Original
32.95,Original
34.67000000000001,Original
33.479,Original
39.035,Original
56.07,Original
98.02,Original
128.03,Original
130.85,Original
138.07999999999998,Original
136.51999999999998,Original
145.0,Original
145.82,Original
135.12,Original
117.55,Original
91.43000000000002,Original
69.02,Original
51.120000000000005,Original
39.74,Original
32.32000000000001,Original
32.93,Original
30.33999999999999,Original
33.80999999999999,Original
28.94,Original
29.41,Original
31.25,Original
32.31000000000001,Original
32.150000000000006,Original
38.14,Original
51.68999999999998,Original
95.22999999999996,Original
129.9,Original
134.70999999999998,Original
138.21,Original
136.43,Original
144.23000000000002,Original
144.97,Original
125.32,Original
103.51999999999998,Original
73.04999999999998,Original
49.06,Original
34.98000000000001,Original
33.160000000000004,Original
35.679999999999986,Original
29.969999999999995,Original
28.849999999999994,Original
28.630000000000003,Original
28.500000000000004,Original
28.74000000000001,Original
28.63,Original
29.17,Original
28.75,Original
30.32,Original
32.97999999999999,Original
32.93999999999999,Original
33.419999999999995,Original
33.779999999999994,Original
35.75000000000001,Original
36.84000000000001,Original
38.260000000000005,Original
35.400000000000006,Original
35.140000000000015,Original
34.84000000000001,Original
44.27,Original
39.64999999999999,Original
36.82,Original
32.849999999999994,Original
33.06,Original
31.980000000000004,Original
28.56999999999999,Original
28.81,Original
28.520000000000003,Original
28.710000000000004,Original
